ABI
CAK
ALB
ABQ
AEX
ABE
AMA
ANU
ATW
AVL
ASE
ATL
AGS
AUS
BFL
BWI
BGR
BTR
BPT
BIL
BHM
BIS
BMI
TRI
BOI
BOS
BZN
BRO
BUF
BUR
BTV
CID
CMI
CHS
CRW
CLT
CHO
CHA
ORD
CVG
CLE
CLL
COS
COU
CAE
CSG
CMH
CRP
DFW
DAY
DAB
DRT
DEN
DSM
VPS
DTW
DRO
ELP
ERI
EUG
EVV
FAR
XNA
FAY
FLG
FNT
FLO
GRK
FLL
RSW
FSM
FWA
FAT
GNV
GCK
GRI
GJT
GRR
GRB
GSO
PGV
GSP
GPT
GUC
HRL
MDT
BDL
HDN
HHH
HNL
IAH
HOU
HTS
HSV
IDA
IND
JAC
JAN
OAJ
JAX
OGG
KOA
AZO
FCA
MCI
EYW
TYS
LSE
LFT
LCH
LAN
LRD
LAS
LAW
LEX
LIH
LIT
LGB
GGG
LAX
SDF
LBB
LYH
MSN
MHT
MHK
MQT
MVY
MFE
MFR
MLB
MEM
MIA
MAF
MKE
MSP
MSO
MOB
MLI
MLU
MRY
MGM
MTJ
MYR
ACK
BNA
EWN
MSY
EWR
JFK
LGA
PHF
ORF
OKA
OMA
ONT
MCO
PSP
ECP
PNS
PIA
PHL
PHX
PIT
PDX
PWM
PVR
RDU
RAP
RDM
RNO
RIC
ROA
RST
ROC
ROW
SMF
SBY
SLC
SJT
SAT
SAN
SFO
SJC
SBP
SNA
SBA
SAF
STS
SRQ
SAV
SEA
SHV
FSD
SBN
GEG
SPI
SGF
SGU
STL
SCE
SWO
SYR
TLH
TPA
TXK
TVC
TUS
TUL
TYR
EGE
ACT
DCA
IAD
ALO
ART
CWA
PBI
HPN
ICT
SPI
AVP
ILM
ORH
YUM
